<Connection input:F  output:A signal_power:0.001000 latency:0.0038591754987805336 snr:31.127760>
<Connection input:D  output:A signal_power:0.001000 latency:0.001905261348968936 snr:34.193160>
<Connection input:A  output:B signal_power:0.001000 latency:0.001768990752562263 snr:34.515450>
<Connection input:F  output:E signal_power:0.001000 latency:0.003094469994185023 snr:32.086843>
<Connection input:A  output:D signal_power:0.001000 latency:0.001905261348968936 snr:34.193160>
<Connection input:B  output:D signal_power:0.001000 latency:0.0020629799961233487 snr:33.847755>
<Connection input:A  output:D signal_power:0.001000 latency:0.001905261348968936 snr:34.193160>
<Connection input:D  output:C signal_power:0.001000 latency:0.0018040236733360328 snr:34.430283>
<Connection input:D  output:C signal_power:0.001000 latency:0.0018040236733360328 snr:34.430283>
<Connection input:A  output:E signal_power:0.001000 latency:0.003810522697937872 snr:31.182860>
<Connection input:A  output:C signal_power:0.001000 latency:0.0023733501445786383 snr:33.239087>
<Connection input:D  output:F signal_power:0.001000 latency:0.0019539141498115978 snr:34.083651>
<Connection input:A  output:D signal_power:0.001000 latency:0.001905261348968936 snr:34.193160>
<Connection input:F  output:D signal_power:0.001000 latency:0.0019539141498115978 snr:34.083651>
<Connection input:F  output:A signal_power:0.001000 latency:0.0038591754987805336 snr:31.127760>
<Connection input:D  output:F signal_power:0.001000 latency:0.0019539141498115978 snr:34.083651>
<Connection input:C  output:F signal_power:0.001000 latency:0.0037579378231476306 snr:31.243210>
<Connection input:D  output:B signal_power:0.001000 latency:0.0020629799961233487 snr:33.847755>
<Connection input:C  output:D signal_power:0.001000 latency:0.0018040236733360328 snr:34.430283>
<Connection input:D  output:E signal_power:0.001000 latency:0.001905261348968936 snr:34.193160>
<Connection input:E  output:A signal_power:0.001000 latency:0.003810522697937872 snr:31.182860>
<Connection input:A  output:D signal_power:0.001000 latency:0.001905261348968936 snr:34.193160>
<Connection input:E  output:B signal_power:0.001000 latency:0.0039682413450922846 snr:31.006725>
<Connection input:F  output:E signal_power:0.001000 latency:0.003094469994185023 snr:32.086843>
<Connection input:B  output:F signal_power:0.001000 latency:0.0021374796590073485 snr:33.693686>
<Connection input:E  output:A signal_power:0.001000 latency:0.003810522697937872 snr:31.182860>
<Connection input:A  output:E signal_power:0.001000 latency:0.003810522697937872 snr:31.182860>
<Connection input:A  output:E signal_power:0.001000 latency:0.003810522697937872 snr:31.182860>
<Connection input:E  output:C signal_power:0.001000 latency:0.001768990752562263 snr:34.515450>
<Connection input:C  output:A signal_power:0.001000 latency:0.0023733501445786383 snr:33.239087>
<Connection input:B  output:E signal_power:0.001000 latency:0.0039682413450922846 snr:31.006725>
<Connection input:E  output:C signal_power:0.001000 latency:0.001768990752562263 snr:34.515450>
<Connection input:A  output:B signal_power:0.001000 latency:0.001768990752562263 snr:34.515450>
<Connection input:E  output:D signal_power:0.001000 latency:0.001905261348968936 snr:34.193160>
<Connection input:D  output:A signal_power:0.001000 latency:0.001905261348968936 snr:34.193160>
<Connection input:A  output:F signal_power:0.001000 latency:0.0038591754987805336 snr:31.127760>
<Connection input:E  output:B signal_power:0.001000 latency:0.0039682413450922846 snr:31.006725>
<Connection input:C  output:A signal_power:0.001000 latency:0.0023733501445786383 snr:33.239087>
<Connection input:C  output:F signal_power:0.001000 latency:0.0037579378231476306 snr:31.243210>
<Connection input:D  output:B signal_power:0.001000 latency:0.0020629799961233487 snr:33.847755>
<Connection input:E  output:F signal_power:0.001000 latency:0.003094469994185023 snr:32.086843>
<Connection input:A  output:D signal_power:0.001000 latency:0.001905261348968936 snr:34.193160>
<Connection input:D  output:E signal_power:0.001000 latency:0.001905261348968936 snr:34.193160>
<Connection input:A  output:C signal_power:0.001000 latency:0.0023733501445786383 snr:33.239087>
<Connection input:E  output:B signal_power:0.001000 latency:0.0039682413450922846 snr:31.006725>
<Connection input:A  output:B signal_power:0.001000 latency:0.001768990752562263 snr:34.515450>
<Connection input:E  output:D signal_power:0.001000 latency:0.001905261348968936 snr:34.193160>
<Connection input:F  output:D signal_power:0.001000 latency:0.0019539141498115978 snr:34.083651>
<Connection input:A  output:F signal_power:0.001000 latency:0.0038591754987805336 snr:31.127760>
<Connection input:E  output:C signal_power:0.001000 latency:0.001768990752562263 snr:34.515450>
<Connection input:C  output:B signal_power:0.001000 latency:0.0038670036694593815 snr:31.118960>
<Connection input:F  output:E signal_power:0.001000 latency:0.003094469994185023 snr:32.086843>
<Connection input:D  output:E signal_power:0.001000 latency:0.001905261348968936 snr:34.193160>
<Connection input:B  output:A signal_power:0.001000 latency:0.001768990752562263 snr:34.515450>
<Connection input:F  output:E signal_power:0.001000 latency:0.003094469994185023 snr:32.086843>
<Connection input:D  output:A signal_power:0.001000 latency:0.001905261348968936 snr:34.193160>
<Connection input:F  output:C signal_power:0.001000 latency:0.0037579378231476306 snr:31.243210>
<Connection input:D  output:B signal_power:0.001000 latency:0.0020629799961233487 snr:33.847755>
<Connection input:C  output:E signal_power:0.001000 latency:0.001768990752562263 snr:34.515450>
<Connection input:C  output:B signal_power:0.001000 latency:0.0038670036694593815 snr:31.118960>
<Connection input:F  output:C signal_power:0.001000 latency:0.0037579378231476306 snr:31.243210>
<Connection input:C  output:A signal_power:0.001000 latency:0.0023733501445786383 snr:33.239087>
<Connection input:D  output:C signal_power:0.001000 latency:0.0018040236733360328 snr:34.430283>
<Connection input:E  output:C signal_power:0.001000 latency:0.001768990752562263 snr:34.515450>
<Connection input:E  output:C signal_power:0.001000 latency:0.001768990752562263 snr:34.515450>
<Connection input:A  output:C signal_power:0.001000 latency:0.0023733501445786383 snr:33.239087>
<Connection input:B  output:E signal_power:0.001000 latency:0.0039682413450922846 snr:31.006725>
<Connection input:E  output:A signal_power:0.001000 latency:0.003810522697937872 snr:31.182860>
<Connection input:F  output:D signal_power:0.001000 latency:0.0019539141498115978 snr:34.083651>
<Connection input:C  output:A signal_power:0.001000 latency:0.0023733501445786383 snr:33.239087>
<Connection input:D  output:B signal_power:0.001000 latency:0.0020629799961233487 snr:33.847755>
<Connection input:A  output:E signal_power:0.001000 latency:0.004142340897140901 snr:30.820247>
<Connection input:E  output:B signal_power:0.001000 latency:0.0039682413450922846 snr:31.006725>
<Connection input:C  output:D signal_power:0.001000 latency:0.0018040236733360328 snr:34.430283>
<Connection input:D  output:E signal_power:0.001000 latency:0.001905261348968936 snr:34.193160>
<Connection input:E  output:C signal_power:0.001000 latency:0.001768990752562263 snr:34.515450>
<Connection input:D  output:C signal_power:0.001000 latency:0.0018040236733360328 snr:34.430283>
<Connection input:D  output:C signal_power:0.001000 latency:0.0018040236733360328 snr:34.430283>
<Connection input:D  output:C signal_power:0.001000 latency:0.0018040236733360328 snr:34.430283>
<Connection input:E  output:F signal_power:0.001000 latency:0.003094469994185023 snr:32.086843>
<Connection input:E  output:C signal_power:0.001000 latency:0.001768990752562263 snr:34.515450>
<Connection input:A  output:B signal_power:0.001000 latency:0.001768990752562263 snr:34.515450>
<Connection input:A  output:E signal_power:0.001000 latency:0.004142340897140901 snr:30.820247>
<Connection input:F  output:D signal_power:0.001000 latency:0.0019539141498115978 snr:34.083651>
<Connection input:C  output:A signal_power:0.001000 latency:0.0023733501445786383 snr:33.239087>
<Connection input:E  output:B signal_power:0.001000 latency:0.005231949653192371 snr:29.806070>
<Connection input:C  output:A signal_power:0.001000 latency:0.0023733501445786383 snr:33.239087>
<Connection input:F  output:C signal_power:0.001000 latency:0.0037579378231476306 snr:31.243210>
<Connection input:E  output:C signal_power:0.001000 latency:0.001768990752562263 snr:34.515450>
<Connection input:B  output:A signal_power:0.001000 latency:0.001768990752562263 snr:34.515450>
<Connection input:D  output:B signal_power:0.001000 latency:0.003674252101531199 snr:31.341016>
<Connection input:A  output:F signal_power:0.001000 latency:0.005785884898497209 snr:29.369008>
<Connection input:E  output:C signal_power:0.001000 latency:0.001768990752562263 snr:34.515450>
<Connection input:E  output:B signal_power:0.001000 latency:0.005231949653192371 snr:29.806070>
<Connection input:D  output:C signal_power:0.001000 latency:0.0018040236733360328 snr:34.430283>
<Connection input:A  output:F signal_power:0.001000 latency:0.005785884898497209 snr:29.369008>
<Connection input:B  output:D signal_power:0.001000 latency:0.0020629799961233487 snr:33.847755>
<Connection input:D  output:C signal_power:0.001000 latency:0.004278611493547574 snr:30.679677>
<Connection input:A  output:E signal_power:0.001000 latency:0.004142340897140901 snr:30.820247>
<Connection input:B  output:F signal_power:0.001000 latency:0.0021374796590073485 snr:33.693686>
